"PEAKID,C,4","YEAR,C,4","SEASON,N,1,0","HOST,N,1,0","NATION,C,20","BCDATE,D","SKI,L","PARAPENTE,L","CAMPS,N,2,0","TOTMEMBERS,N,2,0","SMTMEMBERS,N,2,0","TOTHIRED,N,2,0","O2CLIMB,L","O2SLEEP,L","O2UNKWN,L","AGENCY,C,60","COMRTE,L","STDRTE,L"
CHOY,2003,3,2,Sweden,09/12/03,TRUE,FALSE,3,1,1,0,FALSE,FALSE,FALSE,Monterosa Treks,TRUE,TRUE
EVER,2002,3,2,France,08/11/02,TRUE,FALSE,3,2,1,3,TRUE,FALSE,FALSE,Mountain Experience,FALSE,
EVER,2001,1,2,New Zealand,04/09/01,TRUE,FALSE,4,25,10,8,TRUE,TRUE,FALSE,Mountain Experience,TRUE,TRUE
EVER,2001,1,2,Austria,05/09/01,TRUE,FALSE,3,14,6,7,TRUE,TRUE,FALSE,Asian Trekking (Dawa),TRUE,TRUE
HIML,2001,1,1,France,04/27/01,TRUE,FALSE,2,10,9,2,FALSE,FALSE,FALSE,Churen Himal Treks,,
MAKA,2001,1,1,Austria,05/01/01,TRUE,FALSE,2,8,4,2,FALSE,FALSE,FALSE,International Trekkers (Intrek Asia),,TRUE
CHOY,2001,3,2,Japan,09/05/01,TRUE,FALSE,3,2,2,3,FALSE,FALSE,FALSE,Asian Trekking,TRUE,TRUE
CHOY,2001,3,2,Slovenia,09/18/01,TRUE,FALSE,3,11,1,3,FALSE,FALSE,FALSE,Wilderness Experience,TRUE,TRUE
CHOY,2001,3,2,Norway,09/02/01,TRUE,FALSE,3,2,1,1,TRUE,TRUE,FALSE,Asian Trekking,TRUE,TRUE
CHOY,2001,3,2,Norway,09/05/01,TRUE,FALSE,3,8,4,2,TRUE,FALSE,FALSE,Asian Trekking,TRUE,TRUE
CHOY,2000,1,2,Spain,04/25/00,TRUE,FALSE,3,7,3,2,FALSE,FALSE,FALSE,Asian Trekking,TRUE,TRUE
